id,college_whynot,college_excited,college_challenge,gender_cat,so_cat,race_assn,parent_edu,primary_english,where_college
R_2ZK8ZQ8w0Zie1gu,,"I AM EXCITED TO BECOME INVOLVED IN NEW GROUPS SUCH AS CLUB SPORTS, MUSIC GROUPS, AND AIR FORCE ROTC.","MY MAJOR IS DIFFICULT (CHEMISTRY, BS), SO I KNOW I WILL HAVE TO WORK DILIGENTLY TO MAINTAIN GRADES. I ALSO DO NOT PLAN ON WORKING DURING THE YEAR, SO I NEED TO ENSURE I HAVE ENOUGH MONEY SAVED TO PAY FOR MY COLLEGE.",cis woman,gay or lesbian,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2c5jiGNPiCgAg6l,,"CLASSES, RESEARCH OPPORTUNITIES, CAMPUS LIFE","MAKING FRIENDS, ACADEMIC OBLIGATIONS",nonbinary,bisexual/pansexual/omnisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_31iW7RIXMSX3BRT,,"CONTINUING MY EDUCATION, BEING ON MY OWN AND THE NEW EXPERIENCES",HAVING MOTIVATION,cis woman,straight/heterosexual ,American Indian/Alaskan Native,Associate degree,Yes,California State University (CSU)
R_1dpeC1eydrvBaqv,,I AM EXCITED TO BE IN A NEW PLACE WITH MY OWN FREEDOM WHERE I CAN STUDY THE WORLD AROUND ME WITHIN MY SELECTED COURSES.,"MY BIGGEST CHALLENGE WILL BE PAYING FOR COLLEGE BECAUSE MY FAMILY DOES NOT HAVE A LOT OF MONEY TO HELP ME PAY FOR COLLEGE. I AM PAYING FOR COLLEGE THROUGH SCHOLARSHIPS, GRANTS, LOANS, AND WORK.",cis woman,gay or lesbian,White/Non-Hispanic,Associate degree,Yes,College outside of California
R_2OSAR2HqnrqvzWM,,A WHOLE NEW EXPERIENCE.,BALANCING WORK SCHOOL AND OTHER ACTIVITIES.,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_2X7h9UZTRgXubw9,,NEW THINGS TO LEARN,THE BEGINNING,cis man,straight/heterosexual ,Hispanic/Latinx,High school diploma,Yes,California State University (CSU)
R_2bVrDTF6eGVte0Q,,I’M EXCITED ABOUT THE FREEDOM AND TRANSITIONS THAT I’M ABOUT TO GO THROUGH. WORKING AND STUDYING SOUNDS STRESSFUL BUT IT’LL BE NICE TO MAKE MONEY FOR THE FIRST TIME. ALSO HAVING A FLEXIBLE SCHEDULE IS NICE. ADULTHOOD!,"BALANCING LIFE WITH SCHOOL. WORK, FRIENDS, AND SCHOOL ARE THREE HUGE PARTS OF MY LIFE, SO IT’S REALLY IMPORTANT TO ME THAT I DON’T OVERDO IT IN ANY OF THOSE CATEGORIES.",nonbinary,gay or lesbian,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_1BKgw3wBGEA4gSd,,"A NEW START, TAKING CLASSES, A BIT MORE RESPONSIBILITY",TIME MANAGEMENT,cis woman,bisexual/pansexual/omnisexual,Filipino,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California State University (CSU)
R_ePc8nCec9lKZDKF,,"COLLEGE LIFE, INDEPENDENCE, FREEDOM, MEETING NEW PEOPLE AND MAKING CONNECTIONS",ANYTHING MONEY-RELATED AND MAKING FRIENDS IN THE FIRST COUPLE WEEKS,cis man,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,University of California (UC)
R_zcoA3LnMG6HBKXT,,GOING TO UC BERKELEY!!,BALANCING WORK LOAD OF DOUBLE MAJORING AND HAVING FUN WITH OTHER PEOPLE/MAKING FRIENDS,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_3RqicMcJYwlCS1q,,MEETING NEW PEOPLE,,cis woman,prefer not to say,White/Non-Hispanic,Associate degree,Yes,University of California (UC)
R_1oAOdU5aSW7j2f6,,"EARNING MY DEGREE, AND FINDING LIFELONG FRIENDS AND MAKING VALUABLE CONNECTIONS.",BEING AWAY FROM HOME AND MAKING FRIENDS,cis man,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_1ik8KRYOnyO4r79,,NEW EXPERIENCES,BALANCING ALL MY RESPONSIBILITIES,cis woman,straight/heterosexual ,Black/African American,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California Community College (CCC)
R_1M5wgORNWEACtzJ,,MEETING NEW PEOPLE AND BEING IN A NEW ENVIRONMENT,ADJUSTING,cis woman,straight/heterosexual ,Other,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2TAC9PgZgBfauw8,,WORKING TOWARDS BECOMING A REGISTERED NURSE. I AM EXCITED TO ACHIEVE MY DESIRED GOALS.,GETTING CLASSES AND TRANSFERRING OUT OF A CC,cis woman,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,California Community College (CCC)
R_1E1iJd8jqz4amyU,,"EXCITING CLASSES, NEW PEOPLE, MORE FREEDOM","KEEPING UP WITH WORK, MAKING FRIENDS, MENTAL HEALTH",cis woman,other/queer/questioning,White/Non-Hispanic,Bachelor's degree,Yes,California Community College (CCC)
R_yBZS3OxtHEJgvPr,,"I’M EXCITED TO LEARN NEW THINGS, I’M ALSO EXCITED TO MEET NEW PEOPLE. I MEAN, IT’S KIND OF SCARY BECAUSE I MEAN I WON’T KNOW HOW PEOPLE ARE BUT I’M HOPING TO MAKE NEW FRIENDS AND BE ABLE TO GRADUATE TO BECOME A MD ONE DAY",PROBABLY THE CLASSES,cis woman,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_qKIo50KsABb5WUx,,BEING INDEPENDENT AND BEING IN CHARGE OF MY OWN DECISIONS AND CLASSES.,PAYING OFF THE TUITION AND HOUSING,cis man,straight/heterosexual ,Hispanic/Latinx,"Some college, no college degree",No,University of California (UC)
R_1DCIVW7Qp70RvKd,,MAKING SO MANY FUN MEMORIES WITH NEW PEOPLE.,,cis woman,straight/heterosexual ,White/Non-Hispanic,"Some college, no college degree",Yes,College outside of California
R_8wPD02Zn8L2VQjv,,MAKING FRIENDS AND SPORTS.,ACADEMICS,cis woman,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,No,College outside of California
R_PLD9TdnRoBseGI1,,I AM MOST EXCITED ABOUT GETTING AN INTERNSHIP.,I THINK THE BIGGEST CHALLENGE WILL BE ADJUSTING TO THE FAST PACED CLASSES.,cis woman,straight/heterosexual ,Asian,Did not complete high school,No,University of California (UC)
R_3gRCJYLllkYVMqo,,MEETING NEW PEOPLE,"FINDING MY CLASSES, PROJECTS, MAKING NEW FRIENDS, KEEPING UP MY GRADES, TIME MANAGEMENT",cis woman,prefer not to say,Asian,Bachelor's degree,Yes,California Community College (CCC)
R_2q44MJxFrCNp7Nm,,BREAKING THE WALLS OF A MALE DOMINATED INDUSTRY,GETTING THE SCHEDULING / TUTORING I’LL NEED,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,High school diploma,No,California State University (CSU)
R_s7k799a3qAAV3Lr,,I’M MOST EXITED JUST ABOUT THE FEEL OF COLLEGE AND THE EXPERIENCE. JUST HAVING TO MEET NEW PEOPLE TO GET TO KNOW THEM. JUST A NEW CHAPTER IN MY LIFE,JUST I’LL BE STRUGGLING TO GET THOES HIGH A’S IN CLASSES BECAUSE I KNOW IT WILL BE CHALLENGING.,cis man,straight/heterosexual ,Hispanic/Latinx,High school diploma,No,University of California (UC)
R_ekXuRES2zaeLzoZ,,"NEW EXPERIENCES, LEARNING, BUILDING NEW FRIENDSHIPS, MAKING MY PARENTS PROUD","BALANCING EVERYTHING, TIME MANAGEMENT",cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,High school diploma,No,University of California (UC)
R_pGDym8PhW4Jnbfr,,TAKING CLASSES I FIND INTERESTING AND FURTHERING MY EDUCATION.,BEING ABLE TO BALANCE BETWEEN WORK AND PERSONAL AND SOCIAL LIFE.,cis man,asexual/aromantic/demisexual,Asian,"Some college, no college degree",No,California Community College (CCC)
R_pQWHxfv2KU9CuOd,,"THE NEW EXPERIENCE THAT I’LL RECEIVE FROM IT SUCH AS COMMUNITY, ACADEMICS, AND EXTRA-CURRICULAR SUCH AS SPORTS, EG: BASEBALL.",FINANCIAL,cis man,straight/heterosexual ,Hispanic/Latinx,Associate degree,No,California Community College (CCC)
R_1Kl18GUIRjcuou0,,THE FREEDOM OF BEING AN ADULT AND TREATED AS SUCH,ALL MY CLASSES,cis man,straight/heterosexual ,Hispanic/Latinx,High school diploma,Yes,"Vocational, technical, or career college in California"
R_1FlB20S4lkhDhvn,,"HIGHER EDUCATION, INTERNSHIPS, DEGREE",MY ACADEMIC ABILITIES,cis man,straight/heterosexual ,Asian,Bachelor's degree,No,California Community College (CCC)
R_BqRveURDRPzZGWB,,I AM EXCITED ABOUT BEING IN CHARGE OF MY LIFE AND MAKING ALL MY OWN DECISIONS.,MAYBE I'LL BE LONELY? I'M PLANNING ON MAKING FRIENDS THOUGH.,trans man,asexual/aromantic/demisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,Private four-year college/university in California
R_2zcMhcV0zFITNFI,,NEW EXPERIENCES,"MONEY, ACADEMICS, SOCIALIZING, MENTAL HEALTH ACCESSIBILITY AND CENTERS, KEEPING UP WITH ACADEMICS",cis woman,straight/heterosexual ,Hispanic/Latinx,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,California Community College (CCC)
R_1Dx2kM7TmqisK5A,,COLLEGE LIFE AND STUDYING ABROAD,BEING SO FAR FROM HOME,prefer not to say,bisexual/pansexual/omnisexual,Hispanic/Latinx,Bachelor's degree,Yes,College outside of California
R_1LIlko6t2dZRmKD,,NEW SOCIAL SPACES AND TO BE PASSIONATE ABOUT MY CLASSSS,SOCIAL ANXIETY AND SOCIAL INSECURITY,cis woman,prefer not to say,White/Non-Hispanic,Bachelor's degree,Yes,Private four-year college/university in California
R_1Edl3agfKQbYhv4,,THE CAMPUS AND COMMUNITY,KEEPING MY GRADES UP AND COMPETING WITH SOME OF THE SMARTEST STUDENTS IN THE WORLD,cis woman,straight/heterosexual ,Asian,Bachelor's degree,Yes,University of California (UC)
R_1itiEqvvBWSGjr7,,I'M EXCITED ABOUT EXPANDING MY KNOWLEDGE AND GETTING TO KNOW MY PROFESSOR.,MY BIGGEST CHALLENGE WAS MY LEARNING DISEASE I HAD BAD SPELLS AND READING.,cis man,straight/heterosexual ,Hispanic/Latinx,Don't know,Yes,California Community College (CCC)
R_1FERB654r7RMDhs,,I AM MOST EXCITED TO LEARN NEW THINGS AND EXPERIENCE A NEW COMMUNITY.,THE BIGGEST CHALLENGE WILL BE FOCUSING ON MY MENTAL HEALTH.,cis woman,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,California Community College (CCC)
R_3IUJ2MvH2jYsTh7,,BEING IN A PLACE WHERE EVERYBODY IS AS EXCITED AS I AM ABOUT LEARNING.,"HOMESICKNESS, DISCOVERING INDEPENDENCE FOR THE FIRST TIME",cis woman,bisexual/pansexual/omnisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,Private four-year college/university in California
R_2aREdFS6NILygHa,,I’M MOST EXCITED ON SEEING THE DIFFERENCES BETWEEN COLLEGE AND HIGH SCHOOL.,THE BIGGEST CHALLENGE THAT I WILL FACE IN COLLEGE WILL BE THE EXAMS,cis man,straight/heterosexual ,White/Non-Hispanic,High school diploma,Yes,"Vocational, technical, or career college in California"
R_DMeyoeEFXcrHexP,,I AM EXCITED TO BE ON MY OWN AND START MY LIFE AWAY FROM HOME,MAKING FRIENDS AND STAYING MOTIVATED AND FOCUSED,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2QlVUpZvevvRpSp,,"MEETING NEW PEOPLE, AND CONTINUING TO RUN CROSS COUNTRY AND TRACK.",MAYBE MONEY RELATED STUFF,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,Private four-year college/university in California
R_2ClyU5FBTGAEPrv,,BEING ABLE TO LIVE ON MY OWN AND BE INDEPENDENT,GETTING USED TO BEING INDEPENDENT AND RELYING ON MYSELF FOR EVERYTHING,cis woman,straight/heterosexual ,American Indian/Alaskan Native,Bachelor's degree,Yes,California Community College (CCC)
R_6WLR7O436EfpjBn,,STUDYING ENGINEERING AND MEETING NEW PEOPLE.,"STAYING HARDWORKING AND ACADEMICALLY FOCUSED, AS WELL AS LEARNING HOW TO LIVE ON MY OWN.",cis woman,bisexual/pansexual/omnisexual,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_1H3NcnjaqJzhHCp,,PURSUING HIGHER EDUCATION AND MEETING NEW PEOPLE.,SELF-DISCIPLINE.,cis man,straight/heterosexual ,Asian,High school diploma,No,University of California (UC)
R_DIfPPGxkDbSpO37,,GETTING TO EXPERIENCE LIVING ON MY OWN AND FOLLOWING MY DREAM INA BEAUTIFUL AND GREAT SCHOOL,"GETTING TO ADAPT, THE LANGUAGE, THE LEAVING AWAY FROM MY FAMILY AND HAVING TO PROBABLY WORK MORE TO BE ABLE TO PAY MY EDUCATION WITHOUT BEING IN EXTREME DEBT. I'M SCARED FOR MY ABILITY TO PAY COLLEGE BUT I TRUST THAT I WILL BE ABLE IF I ORGANIZE MYSELF IN THE BEST OF MY ABILITIES.",cis man,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,No,University of California (UC)
R_3EkKJCSZp1CmJuV,,,PAYING FOR IT,cis woman,straight/heterosexual ,White/Non-Hispanic,"Some college, no college degree",Yes,College outside of California
R_2E4DyanGhOlnsQn,,I AM MOST EXCITED TO MAKE NEW FRIENDS AND ADAPT TO A NEW ENVIRONMENT.,ONE CHALLENGE IS NOT BEING ACADEMICALLY SUCCESSFUL.,cis woman,straight/heterosexual ,Hispanic/Latinx,"Some college, no college degree",Yes,Private four-year college/university in California
R_26w6VaML2pL2tGx,,TO FINALLY HAVE MY INDEPENDENCE AND BE AT THE AGE WHERE I CAN SCHEDULE MY OWN CLASSES AND WORK HARD TO ACHIEVE WHAT I WANT.,I THINK IT’S TO JUST GET THROUGH EVERYTHING WHICH IS HOMEWORK AND SOCIAL LIFE BUT IF I BALANCE EVERYTHING RIGHT I CAN DO IT.,cis woman,straight/heterosexual ,Hispanic/Latinx,"Some college, no college degree",No,California Community College (CCC)
R_2ZPjF1uSe2xRGya,,I'M EXCITED TO SEE HOW THINGS WILL GO. I'M EXCITED TO SEE HOW STUDY THE MAJOR I CHOSE GOES. AND JUST TO SEE HOW I DO.,PROBABLY TRYING TO UNDERSTAND ALL OF THE TOPICS AND JUST NOT GIVING UP.,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,Did not complete high school,No,California State University (CSU)
R_2tzXujpB8koWA57,,GETTING TO MEET NEW PEOPLE WHO SHARE THE SAME INTERESTS AND GOALS AS ME. TAKING DIFFERENT COURSES FOR MY INTENDED FIELD.,SUCCEEDING ACADEMICALLY.,cis woman,other/queer/questioning,Hispanic/Latinx,Did not complete high school,No,University of California (UC)
R_sYJBFicQ7IlXuud,,TAKING COOL CLASSES AND MEETING AMAZING PROFESSORS.,"MAKING FRIENDS, PAYING FOR SCHOOL.",cis woman,bisexual/pansexual/omnisexual,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_qQP8geNzWe5a2Ot,,MEETING NEW PEOPLE AND LEAVING MY HOME TOWN.,TIME MANAGEMENT.,cis woman,gay or lesbian,White/Non-Hispanic,Bachelor's degree,Yes,Private four-year college/university in California
R_2X1H9VtHcCmF3i4,,THE FACT THAT I DON’T HAVE TO GO EVERYDAY OF THE WEEK,ACADEMICS,cis man,gay or lesbian,Hispanic/Latinx,High school diploma,No,Private four-year college/university in California
R_3RpGVzSdwzrQCfQ,,MAKING NEW FRIENDS AND NEW MEMORIES! NEW EXPERIENCES AND ADVENTURES :),"THINGS THAT INVOLVE MONEY OR LEGAL MANDATORY ADULT THINGS THAT I DON’T KNOW HOW TO DO, ALSO STANDING UP FOR MYSELF WHEN I DON’T UNDERSTAND SOMETHING I HAVE TROUBLE WITH THAT",cis woman,bisexual/pansexual/omnisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2cvWrFgN23Y2IZP,,"I AM EXCITED FOR THE ACADEMIC CHALLENGE. I AM EXCITED TO LIVE SOMEWHERE NEW AND EXPERIENCE DIFFERENT PEOPLE IN A DIFFERENT PLACE. I AM ALSO VERY EXCITED TO BE IN A POSITIVE ACADEMIC ENVIRONMENT. STUDENTS AND STAFF (NOT INCLUDING TEACHERS, I LOVE MY TEACHERS) OFTEN BULLY ME, AND I AM EXCITED TO BE OUT OF THAT ENVIRONMENT.",MAKING FRIENDS. I AM NOT THE TYPE OF PERSON TO MAKE FRIENDS EASILY.,cis man,gay or lesbian,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
