
="",="Enrollment",="Enrollment",="Units Enrolled",="Units Enrolled",="Units Earned",="Units Earned",="GPA",="GPA"

="Summer Nudge Treatment",="0.012**",="0.013**",="0.055*",="0.057*",="0.062**",="0.066**",="0.081",="-0.088"
="",="(0.006)",="(0.006)",="(0.030)",="(0.032)",="(0.027)",="(0.030)",="(0.100)",="(0.113)"

="Mean of Y",="0.069",="0.069",="0.305",="0.305",="0.266",="0.266",="3.337",="3.337"
="SD of Y",="0.254",="0.254",="1.368",="1.368",="1.246",="1.246",="1.125",="1.125"
="Individual Controls",="No",="Yes",="No",="Yes",="No",="Yes",="No",="Yes"
="Observations",="8226",="6840",="8226",="6840",="8226",="6840",="512",="427"

