
="",="Control",="Treatment"

="Black",="0.034",="0.042"
="",="",=""

="Asian/Filipino",="0.142",="0.138"
="",="",=""

="Hispanic",="0.432",="0.426"
="",="",=""

="White",="0.202",="0.203"
="",="",=""

="Two or More Races",="0.166",="0.169"
="",="",=""

="Woman",="0.581",="0.566"
="",="",=""

="Man",="0.353",="0.369"
="",="",=""

="LGBTQ+",="0.235",="0.241"
="",="",=""

="Public High School",="0.814",="0.820"
="",="",=""

="Private High School",="0.033",="0.031"
="",="",=""

="Home School",="0.011",="0.012"
="",="",=""

="First-Gen College Student",="0.378",="0.391"
="",="",=""

="Derived Income (Thousands)",="131.867",="130.071"
="",="",=""

="Expected Family Contribution (Thousands)",="32.641",="31.600"
="",="",=""

="Parents Married/Remarried",="0.114",="0.118"
="",="",=""

="Observations",="4114",="4112"

