="                    ",="Gender",="Race",="Religion"
="All                 ",="0.326",="0.512",="0.127"
="N                   ",="1042",="1042",="1042"
="cis woman           ",="0.295",="0.541",="0.137"
="N                   ",="569",="569",="569"
="cis man             ",="0.0833",="0.663",="0.163"
="N                   ",="252",="252",="252"
="gender variant      ",="0.780",="0.252",="0.0566"
="N                   ",="159",="159",="159"
="unsure/prefer not to say",="0.512",="0.256",="0.0233"
="N                   ",="43",="43",="43"
="American Indian/Alaskan Native/Pacific Islander",="0.457",="0.630",="0.0870"
="N                   ",="46",="46",="46"
="Black/African American",="0.196",="0.833",="0.0588"
="N                   ",="102",="102",="102"
="Hispanic/Latinx     ",="0.299",="0.488",="0.109"
="N                   ",="469",="469",="469"
="Filipino            ",="0.250",="0.769",="0.0577"
="N                   ",="52",="52",="52"
="Asian               ",="0.285",="0.669",="0.108"
="N                   ",="130",="130",="130"
="Other               ",="0.185",="0.593",="0.370"
="N                   ",="27",="27",="27"
="White/Non-Hispanic  ",="0.498",="0.209",="0.189"
="N                   ",="201",="201",="201"
