="                    ",="academic",="family",="community",="away",="support",="race",="gender",="religion"
="All                 ",="0.189",="0.106",="0.163",="0.0970",="0.116",="0.0301",="0.0317",="0.0138"
="N                   ",="7958",="7941",="7934",="7948",="7944",="7895",="7886",="7891"
="cis woman           ",="0.208",="0.109",="0.174",="0.115",="0.129",="0.0336",="0.0227",="0.0140"
="N                   ",="4291",="4285",="4286",="4285",="4285",="4286",="4272",="4285"
="cis man             ",="0.149",="0.0860",="0.130",="0.0727",="0.0682",="0.0210",="0.00785",="0.0105"
="N                   ",="2671",="2664",="2664",="2669",="2669",="2669",="2674",="2666"
="gender variant      ",="0.228",="0.175",="0.253",="0.0702",="0.263",="0.0475",="0.265",="0.0250"
="N                   ",="400",="399",="396",="399",="400",="400",="400",="400"
="unsure/prefer not to say",="0.227",="0.153",="0.254",="0.102",="0.237",="0.0511",="0.0971",="0.0286"
="N                   ",="176",="176",="177",="177",="177",="176",="175",="175"
="American Indian/Alaskan Native/Pacific Islander",="0.181",="0.102",="0.112",="0.0356",="0.107",="0.0487",="0.0717",="0.0177"
="N                   ",="226",="225",="224",="225",="224",="226",="223",="226"
="Black/African American",="0.156",="0.0909",="0.155",="0.108",="0.119",="0.0960",="0.0358",="0.00945"
="N                   ",="527",="528",="530",="528",="531",="531",="530",="529"
="Hispanic/Latinx     ",="0.209",="0.128",="0.159",="0.0972",="0.128",="0.0284",="0.0289",="0.00981"
="N                   ",="3782",="3776",="3773",="3776",="3777",="3772",="3769",="3773"
="Filipino            ",="0.204",="0.0681",="0.221",="0.102",="0.132",="0.0256",="0.0470",="0.0255"
="N                   ",="235",="235",="235",="235",="235",="234",="234",="235"
="Asian               ",="0.233",="0.106",="0.194",="0.103",="0.0993",="0.0289",="0.0289",="0.0132"
="N                   ",="1139",="1136",="1136",="1140",="1138",="1142",="1140",="1140"
="Other               ",="0.176",="0.0884",="0.116",="0.132",="0.104",="0.0387",="0.0275",="0.0333"
="N                   ",="182",="181",="181",="182",="182",="181",="182",="180"
="White/Non-Hispanic  ",="0.118",="0.0610",="0.160",="0.0951",="0.0998",="0.00803",="0.0328",="0.0194"
="N                   ",="1496",="1492",="1491",="1493",="1493",="1495",="1494",="1493"
="Did not complete high school",="0.246",="0.151",="0.169",="0.116",="0.146",="0.0343",="0.0206",="0.0110"
="N                   ",="1368",="1368",="1365",="1367",="1367",="1370",="1361",="1367"
="High school diploma ",="0.196",="0.114",="0.149",="0.0899",="0.115",="0.0325",="0.0324",="0.0127"
="N                   ",="1575",="1567",="1569",="1568",="1570",="1571",="1572",="1572"
="Some college, no college degree/Associate degree",="0.183",="0.107",="0.162",="0.0942",="0.117",="0.0331",="0.0352",="0.0120"
="N                   ",="1425",="1425",="1424",="1422",="1424",="1421",="1422",="1419"
="Bachelor's degree   ",="0.165",="0.0854",="0.175",="0.0897",="0.0957",="0.0228",="0.0309",="0.0155"
="N                   ",="1360",="1359",="1358",="1360",="1359",="1358",="1359",="1359"
="Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",="0.162",="0.0665",="0.172",="0.101",="0.112",="0.0276",="0.0374",="0.0159"
="N                   ",="1449",="1444",="1443",="1451",="1449",="1448",="1445",="1446"
="Don't know          ",="0.172",="0.107",="0.143",="0.0859",="0.104",="0.0312",="0.0442",="0.0207"
="N                   ",="383",="383",="384",="384",="384",="385",="385",="386"
